cluster,preference_rank,main_question,sub_question,cumulative_score,n_responses
Cluster 1,1,Computational methods and AI: specify your training needs You can skip topics that are not relevant,AI-assisted coding and analysis,68,67
Cluster 1,2,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Sharing and reusing life science data,58,62
Cluster 1,3,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Making bioinformatics workflows findable and citable,57,65
Cluster 1,4,Computational methods and AI: specify your training needs You can skip topics that are not relevant,"Applications of advanced AI techniques (agentic AI, MCP and RAGs)",55,64
Cluster 1,5,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Using large language models (LLM) for biomedical knowledge extraction,55,60
Cluster 1,6,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Using AI for biomedicine,52,63
Cluster 1,7,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Using GitHub actions and CI/CD,51,63
Cluster 1,8,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Applying the FAIR principles for data,50,62
Cluster 1,9,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Concepts in cloud computing for bioinformatics,49,63
Cluster 1,10,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Building and querying knowledge graphs,44,59
Cluster 1,11,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Introduction to the rust language,26,60
Cluster 1,12,Omics analysis: specify your training needs You can skip topics that are not relevant,Imaging and omics data integration,25,45
Cluster 1,13,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Medical image analysis,25,44
Cluster 1,14,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Using public databases for pathogen data analysis,18,45
Cluster 1,15,Omics analysis: specify your training needs You can skip topics that are not relevant,Design and validation of CRISPR-based screens,12,44
Cluster 1,16,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Epidemiology modelling,11,42
Cluster 1,17,Omics analysis: specify your training needs You can skip topics that are not relevant,Metabolomics data analysis,11,42
Cluster 1,18,Omics analysis: specify your training needs You can skip topics that are not relevant,Proteomics data analysis,10,44
Cluster 1,19,Omics analysis: specify your training needs You can skip topics that are not relevant,"Single-cell multiomics: RNA and ATAC-seq, and other RNA and surface proteins",10,42
Cluster 1,20,Omics analysis: specify your training needs You can skip topics that are not relevant,Mass spectrometry data analysis,10,41
Cluster 1,21,Omics analysis: specify your training needs You can skip topics that are not relevant,Eukaryotic genome assembly and annotation,8,42
Cluster 1,22,Omics analysis: specify your training needs You can skip topics that are not relevant,Metabolic modeling,8,41
Cluster 1,23,Biodiversity and Ecology: specify your training needs You can skip topics that are not relevant,Phylogenetics data analysis,6,37
Cluster 1,24,Biodiversity and Ecology: specify your training needs You can skip topics that are not relevant,Environmental DNA (eDNA) analysis,6,34
Cluster 1,25,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Viral Bioinformatics,5,40
Cluster 1,26,Omics analysis: specify your training needs You can skip topics that are not relevant,16S sequencing data analysis,4,41
Cluster 1,27,Omics analysis: specify your training needs You can skip topics that are not relevant,Pangenomics data analysis,4,40
Cluster 1,28,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Antimicrobial resistance genomics,3,40
Cluster 1,29,Omics analysis: specify your training needs You can skip topics that are not relevant,Genome-Wide Association Studies (GWAS),3,40
Cluster 1,30,Omics analysis: specify your training needs You can skip topics that are not relevant,Epigenetics data analysis,2,41
Cluster 1,31,Omics analysis: specify your training needs You can skip topics that are not relevant,Epigenetics using ATAC-seq bulk and single-cell,1,40
Cluster 1,32,Omics analysis: specify your training needs You can skip topics that are not relevant,Transposable elements analysis,1,38
Cluster 1,33,Omics analysis: specify your training needs You can skip topics that are not relevant,Non-coding RNA data analysis,0,41
Cluster 2,1,Biodiversity and Ecology: specify your training needs You can skip topics that are not relevant,Phylogenetics data analysis,60,51
Cluster 2,2,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Antimicrobial resistance genomics,49,45
Cluster 2,3,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Using public databases for pathogen data analysis,44,47
Cluster 2,4,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Viral Bioinformatics,41,46
Cluster 2,5,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Making bioinformatics workflows findable and citable,40,48
Cluster 2,6,Biodiversity and Ecology: specify your training needs You can skip topics that are not relevant,Environmental DNA (eDNA) analysis,35,45
Cluster 2,7,Computational methods and AI: specify your training needs You can skip topics that are not relevant,AI-assisted coding and analysis,33,47
Cluster 2,8,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Using GitHub actions and CI/CD,31,48
Cluster 2,9,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Sharing and reusing life science data,31,46
Cluster 2,10,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Building and querying knowledge graphs,28,45
Cluster 2,11,Omics analysis: specify your training needs You can skip topics that are not relevant,Genome-Wide Association Studies (GWAS),28,41
Cluster 2,12,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Using AI for biomedicine,26,46
Cluster 2,13,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Epidemiology modelling,25,45
Cluster 2,14,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Applying the FAIR principles for data,22,45
Cluster 2,15,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Concepts in cloud computing for bioinformatics,22,44
Cluster 2,16,Omics analysis: specify your training needs You can skip topics that are not relevant,Pangenomics data analysis,22,41
Cluster 2,17,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Using large language models (LLM) for biomedical knowledge extraction,21,45
Cluster 2,18,Computational methods and AI: specify your training needs You can skip topics that are not relevant,"Applications of advanced AI techniques (agentic AI, MCP and RAGs)",21,43
Cluster 2,19,Omics analysis: specify your training needs You can skip topics that are not relevant,16S sequencing data analysis,19,37
Cluster 2,20,Omics analysis: specify your training needs You can skip topics that are not relevant,Eukaryotic genome assembly and annotation,17,42
Cluster 2,21,Omics analysis: specify your training needs You can skip topics that are not relevant,Epigenetics data analysis,17,40
Cluster 2,22,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Introduction to the rust language,15,41
Cluster 2,23,Omics analysis: specify your training needs You can skip topics that are not relevant,Proteomics data analysis,15,40
Cluster 2,24,Omics analysis: specify your training needs You can skip topics that are not relevant,Design and validation of CRISPR-based screens,14,40
Cluster 2,25,Omics analysis: specify your training needs You can skip topics that are not relevant,Imaging and omics data integration,14,39
Cluster 2,26,Omics analysis: specify your training needs You can skip topics that are not relevant,Metabolomics data analysis,13,40
Cluster 2,27,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Medical image analysis,12,42
Cluster 2,28,Omics analysis: specify your training needs You can skip topics that are not relevant,Non-coding RNA data analysis,9,40
Cluster 2,29,Omics analysis: specify your training needs You can skip topics that are not relevant,"Single-cell multiomics: RNA and ATAC-seq, and other RNA and surface proteins",8,39
Cluster 2,30,Omics analysis: specify your training needs You can skip topics that are not relevant,Metabolic modeling,8,36
Cluster 2,31,Omics analysis: specify your training needs You can skip topics that are not relevant,Transposable elements analysis,7,37
Cluster 2,32,Omics analysis: specify your training needs You can skip topics that are not relevant,Mass spectrometry data analysis,6,38
Cluster 2,33,Omics analysis: specify your training needs You can skip topics that are not relevant,Epigenetics using ATAC-seq bulk and single-cell,5,39
Cluster 3,1,Omics analysis: specify your training needs You can skip topics that are not relevant,"Single-cell multiomics: RNA and ATAC-seq, and other RNA and surface proteins",68,58
Cluster 3,2,Omics analysis: specify your training needs You can skip topics that are not relevant,Epigenetics using ATAC-seq bulk and single-cell,66,60
Cluster 3,3,Omics analysis: specify your training needs You can skip topics that are not relevant,Epigenetics data analysis,62,59
Cluster 3,4,Omics analysis: specify your training needs You can skip topics that are not relevant,Non-coding RNA data analysis,43,57
Cluster 3,5,Omics analysis: specify your training needs You can skip topics that are not relevant,Imaging and omics data integration,39,58
Cluster 3,6,Omics analysis: specify your training needs You can skip topics that are not relevant,Genome-Wide Association Studies (GWAS),38,56
Cluster 3,7,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Using large language models (LLM) for biomedical knowledge extraction,37,51
Cluster 3,8,Omics analysis: specify your training needs You can skip topics that are not relevant,Transposable elements analysis,36,53
Cluster 3,9,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Making bioinformatics workflows findable and citable,36,49
Cluster 3,10,Omics analysis: specify your training needs You can skip topics that are not relevant,Design and validation of CRISPR-based screens,35,51
Cluster 3,11,Computational methods and AI: specify your training needs You can skip topics that are not relevant,AI-assisted coding and analysis,32,50
Cluster 3,12,Omics analysis: specify your training needs You can skip topics that are not relevant,Eukaryotic genome assembly and annotation,30,53
Cluster 3,13,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Using AI for biomedicine,26,49
Cluster 3,14,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Concepts in cloud computing for bioinformatics,26,48
Cluster 3,15,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Sharing and reusing life science data,23,49
Cluster 3,16,Computational methods and AI: specify your training needs You can skip topics that are not relevant,"Applications of advanced AI techniques (agentic AI, MCP and RAGs)",22,43
Cluster 3,17,Omics analysis: specify your training needs You can skip topics that are not relevant,Pangenomics data analysis,21,51
Cluster 3,18,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Using GitHub actions and CI/CD,21,48
Cluster 3,19,Omics analysis: specify your training needs You can skip topics that are not relevant,Proteomics data analysis,20,55
Cluster 3,20,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Applying the FAIR principles for data,19,49
Cluster 3,21,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Building and querying knowledge graphs,19,46
Cluster 3,22,Biodiversity and Ecology: specify your training needs You can skip topics that are not relevant,Phylogenetics data analysis,19,41
Cluster 3,23,Biodiversity and Ecology: specify your training needs You can skip topics that are not relevant,Environmental DNA (eDNA) analysis,17,42
Cluster 3,24,Omics analysis: specify your training needs You can skip topics that are not relevant,16S sequencing data analysis,14,52
Cluster 3,25,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Medical image analysis,14,43
Cluster 3,26,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Antimicrobial resistance genomics,14,39
Cluster 3,27,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Viral Bioinformatics,14,39
Cluster 3,28,Omics analysis: specify your training needs You can skip topics that are not relevant,Metabolomics data analysis,13,53
Cluster 3,29,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Using public databases for pathogen data analysis,11,40
Cluster 3,30,Omics analysis: specify your training needs You can skip topics that are not relevant,Mass spectrometry data analysis,10,53
Cluster 3,31,Omics analysis: specify your training needs You can skip topics that are not relevant,Metabolic modeling,10,52
Cluster 3,32,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Introduction to the rust language,10,42
Cluster 3,33,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Epidemiology modelling,10,38
Cluster 4,1,Omics analysis: specify your training needs You can skip topics that are not relevant,Proteomics data analysis,71,72
Cluster 4,2,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Using AI for biomedicine,69,65
Cluster 4,3,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Using large language models (LLM) for biomedical knowledge extraction,67,65
Cluster 4,4,Computational methods and AI: specify your training needs You can skip topics that are not relevant,AI-assisted coding and analysis,64,66
Cluster 4,5,Omics analysis: specify your training needs You can skip topics that are not relevant,Imaging and omics data integration,59,66
Cluster 4,6,Omics analysis: specify your training needs You can skip topics that are not relevant,Mass spectrometry data analysis,53,66
Cluster 4,7,Computational methods and AI: specify your training needs You can skip topics that are not relevant,"Applications of advanced AI techniques (agentic AI, MCP and RAGs)",53,57
Cluster 4,8,Omics analysis: specify your training needs You can skip topics that are not relevant,Metabolomics data analysis,52,66
Cluster 4,9,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Making bioinformatics workflows findable and citable,38,60
Cluster 4,10,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Sharing and reusing life science data,35,66
Cluster 4,11,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Building and querying knowledge graphs,32,63
Cluster 4,12,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Concepts in cloud computing for bioinformatics,31,60
Cluster 4,13,Omics analysis: specify your training needs You can skip topics that are not relevant,Epigenetics data analysis,29,63
Cluster 4,14,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Medical image analysis,29,52
Cluster 4,15,Omics analysis: specify your training needs You can skip topics that are not relevant,Metabolic modeling,27,65
Cluster 4,16,Data management and knowledge representation: specify your training needs You can skip topics that are not relevant,Applying the FAIR principles for data,27,64
Cluster 4,17,Omics analysis: specify your training needs You can skip topics that are not relevant,"Single-cell multiomics: RNA and ATAC-seq, and other RNA and surface proteins",27,59
Cluster 4,18,Omics analysis: specify your training needs You can skip topics that are not relevant,Genome-Wide Association Studies (GWAS),26,62
Cluster 4,19,Omics analysis: specify your training needs You can skip topics that are not relevant,Design and validation of CRISPR-based screens,24,59
Cluster 4,20,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Epidemiology modelling,24,51
Cluster 4,21,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Using GitHub actions and CI/CD,23,58
Cluster 4,22,Omics analysis: specify your training needs You can skip topics that are not relevant,Pangenomics data analysis,23,58
Cluster 4,23,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Antimicrobial resistance genomics,19,48
Cluster 4,24,Omics analysis: specify your training needs You can skip topics that are not relevant,Non-coding RNA data analysis,18,61
Cluster 4,25,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Using public databases for pathogen data analysis,17,49
Cluster 4,26,Omics analysis: specify your training needs You can skip topics that are not relevant,16S sequencing data analysis,16,58
Cluster 4,27,Omics analysis: specify your training needs You can skip topics that are not relevant,Eukaryotic genome assembly and annotation,16,57
Cluster 4,28,Biomedicine and pathogens: specify your training needs You can skip topics that are not relevant,Viral Bioinformatics,16,50
Cluster 4,29,Biodiversity and Ecology: specify your training needs You can skip topics that are not relevant,Phylogenetics data analysis,12,47
Cluster 4,30,Omics analysis: specify your training needs You can skip topics that are not relevant,Transposable elements analysis,11,56
Cluster 4,31,Omics analysis: specify your training needs You can skip topics that are not relevant,Epigenetics using ATAC-seq bulk and single-cell,11,55
Cluster 4,32,Computational methods and AI: specify your training needs You can skip topics that are not relevant,Introduction to the rust language,8,52
Cluster 4,33,Biodiversity and Ecology: specify your training needs You can skip topics that are not relevant,Environmental DNA (eDNA) analysis,5,46
